date,container_name,rx_bytes.mean_value
5/11/2022 6:27:29.000000000 PM,k8s_POD_reviews-v1-d9c7bcb7f-k8825_without-monitoring_9f91306a-a187-4721-a092-9fd03a4573a7_0,18218
5/11/2022 6:27:29.000000000 PM,k8s_POD_reviews-v2-7848469667-ft5t7_without-monitoring_5fafa2cf-4a80-4111-a085-406764925e63_0,19483
5/11/2022 6:27:29.000000000 PM,k8s_POD_reviews-v3-5b4bcdbdff-62ntf_without-monitoring_6f717e12-3326-47f9-9b3f-344afa1dce0b_0,24947.5
5/11/2022 6:27:30.000000000 PM,k8s_POD_details-v1-994cb687f-xljxf_without-monitoring_ca591c02-ea74-4be4-a3eb-1df30a625f7c_0,31053.5
5/11/2022 6:27:30.000000000 PM,k8s_POD_productpage-v1-6c575bc5f7-kc8n9_without-monitoring_f20732fa-9206-440f-9d3d-616177df26f6_0,164722
5/11/2022 6:27:30.000000000 PM,k8s_POD_ratings-v1-7669f78ff5-vbsfs_without-monitoring_439bb3e1-21e8-4315-ad98-0ee9cfcf5ed9_0,51740
5/11/2022 6:27:30.000000000 PM,k8s_POD_reviews-v2-7848469667-ft5t7_without-monitoring_5fafa2cf-4a80-4111-a085-406764925e63_0,34940
5/11/2022 6:27:31.000000000 PM,k8s_POD_details-v1-994cb687f-xljxf_without-monitoring_ca591c02-ea74-4be4-a3eb-1df30a625f7c_0,86840
5/11/2022 6:27:31.000000000 PM,k8s_POD_reviews-v1-d9c7bcb7f-k8825_without-monitoring_9f91306a-a187-4721-a092-9fd03a4573a7_0,22165
5/11/2022 6:27:31.000000000 PM,k8s_POD_reviews-v2-7848469667-ft5t7_without-monitoring_5fafa2cf-4a80-4111-a085-406764925e63_0,62147
5/11/2022 6:27:31.000000000 PM,k8s_POD_reviews-v3-5b4bcdbdff-62ntf_without-monitoring_6f717e12-3326-47f9-9b3f-344afa1dce0b_0,39290
5/11/2022 6:27:32.000000000 PM,k8s_POD_details-v1-994cb687f-xljxf_without-monitoring_ca591c02-ea74-4be4-a3eb-1df30a625f7c_0,115788
5/11/2022 6:27:32.000000000 PM,k8s_POD_productpage-v1-6c575bc5f7-kc8n9_without-monitoring_f20732fa-9206-440f-9d3d-616177df26f6_0,159884.5
5/11/2022 6:27:32.000000000 PM,k8s_POD_ratings-v1-7669f78ff5-vbsfs_without-monitoring_439bb3e1-21e8-4315-ad98-0ee9cfcf5ed9_0,36149
5/11/2022 6:27:32.000000000 PM,k8s_POD_reviews-v1-d9c7bcb7f-k8825_without-monitoring_9f91306a-a187-4721-a092-9fd03a4573a7_0,34171
5/11/2022 6:27:32.000000000 PM,k8s_POD_reviews-v2-7848469667-ft5t7_without-monitoring_5fafa2cf-4a80-4111-a085-406764925e63_0,63691
5/11/2022 6:27:33.000000000 PM,k8s_POD_ratings-v1-7669f78ff5-vbsfs_without-monitoring_439bb3e1-21e8-4315-ad98-0ee9cfcf5ed9_0,66951
5/11/2022 6:27:33.000000000 PM,k8s_POD_reviews-v3-5b4bcdbdff-62ntf_without-monitoring_6f717e12-3326-47f9-9b3f-344afa1dce0b_0,47231.5
5/11/2022 6:27:34.000000000 PM,k8s_POD_details-v1-994cb687f-xljxf_without-monitoring_ca591c02-ea74-4be4-a3eb-1df30a625f7c_0,71326.5
5/11/2022 6:27:34.000000000 PM,k8s_POD_productpage-v1-6c575bc5f7-kc8n9_without-monitoring_f20732fa-9206-440f-9d3d-616177df26f6_0,195735
5/11/2022 6:27:34.000000000 PM,k8s_POD_ratings-v1-7669f78ff5-vbsfs_without-monitoring_439bb3e1-21e8-4315-ad98-0ee9cfcf5ed9_0,65802
5/11/2022 6:27:34.000000000 PM,k8s_POD_reviews-v1-d9c7bcb7f-k8825_without-monitoring_9f91306a-a187-4721-a092-9fd03a4573a7_0,17879
5/11/2022 6:27:34.000000000 PM,k8s_POD_reviews-v2-7848469667-ft5t7_without-monitoring_5fafa2cf-4a80-4111-a085-406764925e63_0,46001
5/11/2022 6:27:34.000000000 PM,k8s_POD_reviews-v3-5b4bcdbdff-62ntf_without-monitoring_6f717e12-3326-47f9-9b3f-344afa1dce0b_0,55387
5/11/2022 6:27:35.000000000 PM,k8s_POD_productpage-v1-6c575bc5f7-kc8n9_without-monitoring_f20732fa-9206-440f-9d3d-616177df26f6_0,240851
5/11/2022 6:27:35.000000000 PM,k8s_POD_reviews-v1-d9c7bcb7f-k8825_without-monitoring_9f91306a-a187-4721-a092-9fd03a4573a7_0,33600
5/11/2022 6:27:36.000000000 PM,k8s_POD_details-v1-994cb687f-xljxf_without-monitoring_ca591c02-ea74-4be4-a3eb-1df30a625f7c_0,76718.5
5/11/2022 6:27:36.000000000 PM,k8s_POD_ratings-v1-7669f78ff5-vbsfs_without-monitoring_439bb3e1-21e8-4315-ad98-0ee9cfcf5ed9_0,33046.5
5/11/2022 6:27:36.000000000 PM,k8s_POD_reviews-v2-7848469667-ft5t7_without-monitoring_5fafa2cf-4a80-4111-a085-406764925e63_0,40163.5
5/11/2022 6:27:36.000000000 PM,k8s_POD_reviews-v3-5b4bcdbdff-62ntf_without-monitoring_6f717e12-3326-47f9-9b3f-344afa1dce0b_0,45281.5
5/11/2022 6:27:37.000000000 PM,k8s_POD_productpage-v1-6c575bc5f7-kc8n9_without-monitoring_f20732fa-9206-440f-9d3d-616177df26f6_0,157494.5
5/11/2022 6:27:37.000000000 PM,k8s_POD_ratings-v1-7669f78ff5-vbsfs_without-monitoring_439bb3e1-21e8-4315-ad98-0ee9cfcf5ed9_0,108290
5/11/2022 6:27:37.000000000 PM,k8s_POD_reviews-v1-d9c7bcb7f-k8825_without-monitoring_9f91306a-a187-4721-a092-9fd03a4573a7_0,23984
5/11/2022 6:27:37.000000000 PM,k8s_POD_reviews-v2-7848469667-ft5t7_without-monitoring_5fafa2cf-4a80-4111-a085-406764925e63_0,82270
5/11/2022 6:27:38.000000000 PM,k8s_POD_details-v1-994cb687f-xljxf_without-monitoring_ca591c02-ea74-4be4-a3eb-1df30a625f7c_0,82743
5/11/2022 6:27:38.000000000 PM,k8s_POD_productpage-v1-6c575bc5f7-kc8n9_without-monitoring_f20732fa-9206-440f-9d3d-616177df26f6_0,224009
5/11/2022 6:27:38.000000000 PM,k8s_POD_reviews-v1-d9c7bcb7f-k8825_without-monitoring_9f91306a-a187-4721-a092-9fd03a4573a7_0,46251
5/11/2022 6:27:38.000000000 PM,k8s_POD_reviews-v3-5b4bcdbdff-62ntf_without-monitoring_6f717e12-3326-47f9-9b3f-344afa1dce0b_0,49634
5/11/2022 6:27:39.000000000 PM,k8s_POD_productpage-v1-6c575bc5f7-kc8n9_without-monitoring_f20732fa-9206-440f-9d3d-616177df26f6_0,229976
5/11/2022 6:27:39.000000000 PM,k8s_POD_ratings-v1-7669f78ff5-vbsfs_without-monitoring_439bb3e1-21e8-4315-ad98-0ee9cfcf5ed9_0,46820
5/11/2022 6:27:39.000000000 PM,k8s_POD_reviews-v2-7848469667-ft5t7_without-monitoring_5fafa2cf-4a80-4111-a085-406764925e63_0,44197
5/11/2022 6:27:39.000000000 PM,k8s_POD_reviews-v3-5b4bcdbdff-62ntf_without-monitoring_6f717e12-3326-47f9-9b3f-344afa1dce0b_0,56574
5/11/2022 6:27:40.000000000 PM,k8s_POD_details-v1-994cb687f-xljxf_without-monitoring_ca591c02-ea74-4be4-a3eb-1df30a625f7c_0,72255
5/11/2022 6:27:40.000000000 PM,k8s_POD_productpage-v1-6c575bc5f7-kc8n9_without-monitoring_f20732fa-9206-440f-9d3d-616177df26f6_0,389036
5/11/2022 6:27:40.000000000 PM,k8s_POD_reviews-v1-d9c7bcb7f-k8825_without-monitoring_9f91306a-a187-4721-a092-9fd03a4573a7_0,30178.5
5/11/2022 6:27:40.000000000 PM,k8s_POD_reviews-v3-5b4bcdbdff-62ntf_without-monitoring_6f717e12-3326-47f9-9b3f-344afa1dce0b_0,63757
